year_month,observed_q_max_cms,observed_q_min_cms,simulated_q_max_cms,simulated_q_min_cms,q_max_perc_change,q_min_perc_change
1997_04,2157.74,36.812,1089,221.4,-49.530527310982784,501.4343148973162
1997_05,1645.206,13.762,888.8,173.1,-45.97637013237248,1157.8113646272345
1997_06,224.835,60.881,277.2,136.8,23.290412969510964,124.70064552159133
1997_07,2534.354,23.673,1569,123.3,-38.090732391765314,420.8465340261057
1997_08,235.029,15.971,363.1,64.23,54.49157338030627,302.16642664830005
1997_09,197.651,15.942,434.1,51.07,119.62954905363495,220.3487642704805
1997_10,242.392,18.293,365.6,42.41,50.83006039803295,131.83731481987644
1997_11,396.435,9.854,290.9,66.34,-26.621009749391455,573.2291455246601
1997_12,775.88,7.249,310.9,48.29,-59.92937052121462,566.1608497723824
1998_01,2205.879,69.942,1041,143.6,-52.807928268050965,105.31297360670271
1998_02,1945.364,373.782,1125,423.2,-42.17020567873159,13.221075386187673
1998_03,2302.156,142.15,1170,367.3,-49.17807481334888,158.38902567710164
1998_04,1260.098,94.012,919.4,333.2,-27.03742089900944,254.42283963749307
1998_05,852.336,18.859,499.2,225,-41.431548121867436,1093.064319423087
1998_06,272.691,11.525,321.7,135.4,17.972356990146363,1074.8373101952277
1998_07,276.089,16.056,180.6,101.9,-34.5863109359663,534.6537120079721
1998_08,198.218,9.175,138.9,68.22,-29.92563742949681,643.5422343324251
1998_09,1019.405,8.608,743.4,54.75,-27.075107538220827,536.0362453531598
1998_10,270.142,13.62,172.7,32.82,-36.07065913482539,140.96916299559473
1998_11,147.814,15.631,55.38,29.83,-62.53399542668488,90.83871793231397
1998_12,419.089,19.68,152.2,23.12,-63.683131745285614,17.479674796747975
1999_01,1441.325,37.945,569.1,86.73,-60.51549789256413,128.5676637238108
1999_02,518.197,32.847,318.7,70.69,-38.49829312018402,115.20991262520168
1999_03,300.158,40.776,107.3,57.91,-64.25216052878817,42.01981557779084
1999_04,339.802,10.336,516.2,28.49,51.91199580932426,175.63854489164083
1999_05,688.098,13.762,432.2,38.93,-37.18917944827626,182.88039529138206
1999_06,113.834,11.157,87.94,16.51,-22.747158142558465,47.97884736040155
1999_07,203.598,11.836,100.5,30.69,-50.63802198449887,159.29368029739777
1999_08,101.374,10.902,102.8,8.63,1.406672322291714,-20.840212804989896
1999_09,1129.84,9.769,710.4,46.59,-37.123840543793804,376.91677756167473
1999_10,826.851,9.769,735.6,63.16,-11.035966576807668,546.5349575186815
1999_11,166.786,11.525,123.7,38.39,-25.833103497895504,233.10195227765726
1999_12,213.792,17.415,89.16,40.25,-58.29591378536148,131.12259546368074
2000_01,622.97,24.834,159.9,29.41,-74.33263239000273,18.42635097044375
2000_02,787.207,34.546,624.9,103.3,-20.618083934721113,199.02159439587794
2000_03,288.831,50.121,279.2,70.56,-3.3344758699724157,40.77931405997486
2000_04,362.455,34.546,202.9,111.2,-44.02063704459864,221.88965437387827
2000_05,191.705,14.243,199.1,27.61,3.85748937169087,93.84961033490134
2000_06,174.998,10.364,93.09,21.36,-46.8051063440725,106.09803164801232
2000_07,128.841,9.514,72.29,32.15,-43.89208404157062,237.92306075257517
2000_08,99.392,10.76,70.31,19.74,-29.2599001931745,83.45724907063196
2000_09,427.584,15.093,564.8,22.95,32.09100434066755,52.05724508050089
2000_10,118.647,7.447,112.5,4.4,-5.180914814533874,-40.91580502215657
2000_11,134.788,10.024,74.62,3.91,-44.63898863400303,-60.99361532322426
2000_12,140.451,8.297,41.89,13.4,-70.17465165787357,61.50415812944438
2001_01,204.447,7.702,66.92,9.33,-67.26780045684211,21.13736691768372
2001_02,222.004,13.535,54.33,13.34,-75.52746797355002,-1.4407092722571133
2001_03,744.732,22.03,344.6,28.49,-53.728321060462015,29.323649568769845
2001_04,470.059,9.033,221.1,14.06,-52.96335140907844,55.65150005535261
2001_05,151.212,9.684,93.3,0.99,-38.2985477343068,-89.77695167286245
2001_06,164.804,11.242,218.5,28.19,32.58173345307153,150.75609322184664
2001_07,137.053,7.646,277.5,22.58,102.47641423390952,195.31781323567876
2001_08,102.224,8.014,230.6,29.13,125.5830333385506,263.4888944347392
2001_09,182.643,9.684,68.25,12.27,-62.63201984198683,26.703841387856265
2001_10,56.35,5.663,40.64,11.17,-27.879325643300803,97.2452763552887
2001_11,14.017,10.93,12.87,1.84,-8.18292073910252,-83.16559926806953
2001_12,137.336,11.044,73.73,11.25,-46.31414923982059,1.8652662078956856
2002_01,594.653,13.819,90.32,11.51,-84.81131012540087,-16.70887907952819
2002_02,297.326,9.061,103,11.28,-65.35788999280253,24.489570687562072
2002_03,305.821,15.121,101.6,9.82,-66.7779518084108,-35.05720521129555
2002_04,237.861,13.79,97.78,5.25,-58.89195790819007,-61.92893401015228
2002_05,131.39,7.617,27.7,4.21,-78.9177258543268,-44.728895890770644
2002_06,116.665,9.288,16.07,2.29,-86.22551750739295,-75.34453057708872
2002_07,113.55,18.179,77.31,14.8,-31.915455746367233,-18.587381044061818
2002_08,32.564,22.908,97.92,6.08,200.7001596855423,-73.45905360572726
2002_09,207.845,25.967,410.1,29.68,97.31049580216028,14.298917857280399
2002_10,424.752,18.604,611.8,45.64,44.036990997099466,145.3235863255214
2002_11,945.781,13.196,565.8,114.9,-40.176425620730384,770.7183995150046
2002_12,1036.395,26.873,644.9,107,-37.774690151920844,298.1691660774755
